更新时间,#genre#
20241130 23:23:15


央视专享,#genre#

CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8

CCTV1,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010011/1.m3u8
CCTV2,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010211/1.m3u8
CCTV3,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/1.m3u8
CCTV4,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010017/1.m3u8
CCTV5,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010139/1.m3u8
CCTV5+,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010202/1.m3u8
CCTV6,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010214/1.m3u8
CCTV7,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010215/1.m3u8
CCTV8,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010216/1.m3u8
CCTV9,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010052/1.m3u8
CCTV10,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010203/1.m3u8
CCTV11,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010092/1.m3u8
CCTV12,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010205/1.m3u8
CCTV13,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010093/1.m3u8
CCTV14,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010207/1.m3u8
CCTV15,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010094/1.m3u8
CCTV16,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010142/1.m3u8
CCTV17,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010210/1.m3u8

CCTV1,http://dd.ddzb.fun/php/migu.php?id=cctv1
CCTV2,http://dd.ddzb.fun/php/migu.php?id=cctv2
CCTV3,http://dd.ddzb.fun/php/migu.php?id=cctv3
CCTV4,http://dd.ddzb.fun/php/migu.php?id=cctv4
CCTV4欧洲,http://dd.ddzb.fun/php/migu.php?id=cctv4o
CCTV4美洲,http://dd.ddzb.fun/php/migu.php?id=cctv4a
CCTV5,http://dd.ddzb.fun/php/migu.php?id=cctv5
CCTV5+,http://dd.ddzb.fun/php/migu.php?id=cctv5p
CCTV6,http://dd.ddzb.fun/php/migu.php?id=cctv6
CCTV7,http://dd.ddzb.fun/php/migu.php?id=cctv7
CCTV8,http://dd.ddzb.fun/php/migu.php?id=cctv8
CCTV9,http://dd.ddzb.fun/php/migu.php?id=cctv9
CCTV10,http://dd.ddzb.fun/php/migu.php?id=cctv10
CCTV11,http://dd.ddzb.fun/php/migu.php?id=cctv11
CCTV12,http://dd.ddzb.fun/php/migu.php?id=cctv12
CCTV13,http://dd.ddzb.fun/php/migu.php?id=cctv13
CCTV14,http://dd.ddzb.fun/php/migu.php?id=cctv14
CCTV15,http://dd.ddzb.fun/php/migu.php?id=cctv15
CCTV17,http://dd.ddzb.fun/php/migu.php?id=cctv17

CCTV1,http://124.231.213.16:9999/tsfile/live/0001_1.m3u8
CCTV2,http://124.231.213.16:9999/tsfile/live/0002_1.m3u8
CCTV3,http://124.231.213.16:9999/tsfile/live/0003_1.m3u8
CCTV5+,http://124.231.213.16:9999/tsfile/live/1114_1.m3u8
CCTV7,http://124.231.213.16:9999/tsfile/live/0007_1.m3u8
CCTV9,http://124.231.213.16:9999/tsfile/live/0009_1.m3u8
CCTV10,http://124.231.213.16:9999/tsfile/live/0010_1.m3u8
CCTV13,http://124.231.213.16:9999/tsfile/live/0013_1.m3u8
CCTV14,http://124.231.213.16:9999/tsfile/live/0014_1.m3u8
CCTV15,http://124.231.213.16:9999/tsfile/live/0015_1.m3u8
CCTV16,http://124.231.213.16:9999/tsfile/live/1084_1.m3u8
CCTV17,http://124.231.213.16:9999/tsfile/live/0019_1.m3u8

CCTV1,http://kxrj.site:8081/8647/mg.php?id=cctv1
CCTV2,http://kxrj.site:8081/8647/mg.php?id=cctv2
CCTV3,http://kxrj.site:8081/8647/mg.php?id=cctv3
CCTV4,http://kxrj.site:8081/8647/mg.php?id=cctv4
CCTV5,http://kxrj.site:8081/8647/mg.php?id=cctv5
CCTV5+,http://kxrj.site:8081/8647/mg.php?id=cctv5p
CCTV6,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202
CCTV6,http://kxrj.site:8081/8647/mg.php?id=cctv6
CCTV7,http://kxrj.site:8081/8647/mg.php?id=cctv7
CCTV8,http://kxrj.site:8081/8647/mg.php?id=cctv8
CCTV9,http://kxrj.site:8081/8647/mg.php?id=cctv9
CCTV10,http://kxrj.site:8081/8647/mg.php?id=cctv10
CCTV11,http://kxrj.site:8081/8647/mg.php?id=cctv11
CCTV12,http://kxrj.site:8081/8647/mg.php?id=cctv12
CCTV13,http://kxrj.site:8081/8647/mg.php?id=cctv13
CCTV14,http://kxrj.site:8081/8647/mg.php?id=cctv14
CCTV15,http://kxrj.site:8081/8647/mg.php?id=cctv15
CCTV17,http://kxrj.site:8081/8647/mg.php?id=cctv17

CCTV1,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv1
CCTV2,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv2
CCTV3,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv3
CCTV4,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv4
CCTV5,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv5
CCTV5+,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv5p
CCTV6,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv6
CCTV7,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv7
CCTV8,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv8
CCTV9,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv9
CCTV10,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv10
CCTV11,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv11
CCTV12,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv12
CCTV13,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv13
CCTV14,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv14
CCTV15,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv15
CCTV17,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv17

CCTV1,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=3
CCTV2,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=3
CCTV3,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265003&livemode=1&stbId=3
